_id,dataset_id,compressor,compressor_type,compression_memory,dataset_type,compression_time,compression_cpu_usage,compressed_size,original_size,decompression_cpu_usage,decompression_memory,decompression_time
6815dae51969d4a304aecb8b,DaRe,gzip,proposed,14184.0,dna,1.87,0.0,14870975.0,62565020.0,1.0,62900.0,0.86
6815dae51969d4a304aecb8c,DaRe,zstd,standard,16224.0,dna,83.0,5.0,13011150.0,62565020.0,0.0,62560.0,0.9
6815dae51969d4a304aecb8d,DaRe,zstd,proposed,12616.0,dna,5.0,6.0,1333585.0,62565020.0,1.0,63744.0,0.84
6815dae51969d4a304aecb8e,DaRe,bzip2,standard,16432.0,dna,6.0,6.0,16109731.0,62565020.0,6.0,62132.0,2.4
6815dae51969d4a304aecb8f,DaRe,bzip2,proposed,15736.0,dna,2.54,6.0,14908063.0,62565020.0,1.0,62780.0,1.2
6815dae51969d4a304aecb90,DaRe,zpaq,standard,14116.0,dna,196.0,6.0,13179336.0,62565020.0,6.0,63872.0,194.0
6815dae51969d4a304aecb91,DaRe,zpaq,proposed,16388.0,dna,60.0,6.0,13566914.0,62565020.0,6.0,62664.0,64.0
6815dae51969d4a304aecb92,DaRe,cmix,standard,0.0,dna,0.0,0.0,0.0,62565020.0,0.0,0.0,0.0
6815dae51969d4a304aecb93,DaRe,cmix,proposed,0.0,dna,0.0,0.0,0.0,62565020.0,0.0,0.0,0.0
6815dae51969d4a304aecb94,AnCa,7-zip,standard,167132.0,dna,164.0,8.0,30084979.0,142189675.0,0.0,0.0,1.8
6815dae51969d4a304aecb95,AnCa,7-zip,proposed,31824.0,dna,6.18,11.0,30154135.0,142189675.0,0.0,0.0,1.7
6815dae51969d4a304aecb96,AnCa,paq8px,standard,0.0,dna,0.0,0.0,0.0,142189675.0,0.0,0.0,0.0
6815dae51969d4a304aecb97,AnCa,paq8px,proposed,0.0,dna,0.0,0.0,0.0,142189675.0,0.0,0.0,0.0
6815dae51969d4a304aecb98,AnCa,bsc,standard,33356.0,dna,42.0,6.0,30283228.0,142189675.0,0.0,0.0,22.0
6815dae51969d4a304aecb99,AnCa,bsc,proposed,31316.0,dna,30.0,6.0,30665124.0,142189675.0,0.0,0.0,20.0
6815dae51969d4a304aecb9a,AnCa,gzip,standard,33356.0,dna,177.0,6.0,39160614.0,142189675.0,0.0,0.0,1.0
6815dae51969d4a304aecb9b,AnCa,gzip,proposed,34480.0,dna,2.0,6.0,34622330.0,142189675.0,0.0,0.0,1.0
6815dae51969d4a304aecb9c,AnCa,zstd,standard,33356.0,dna,191.0,6.0,31215077.0,142189675.0,0.0,0.0,0.9
6815dae51969d4a304aecb9d,AnCa,zstd,proposed,30012.0,dna,10.0,6.0,30530145.0,142189675.0,0.0,0.0,0.89
6815dae61969d4a304aecb9e,AnCa,bzip2,standard,38424.0,dna,13.0,5.0,37245662.0,142189675.0,0.0,0.0,6.0
6815dae61969d4a304aecb9f,AnCa,bzip2,proposed,36820.0,dna,5.0,6.0,34200352.0,142189675.0,0.0,0.0,2.0
6815dae61969d4a304aecba0,AnCa,zpaq,standard,38424.0,dna,206.0,16.0,30991984.0,142189675.0,0.0,0.0,202.0
6815dae61969d4a304aecba1,AnCa,zpaq,proposed,32180.0,dna,147.0,6.0,30441161.0,142189675.0,0.0,0.0,141.0
6815dae61969d4a304aecba2,AnCa,cmix,standard,0.0,dna,0.0,0.0,0.0,142189675.0,0.0,0.0,0.0
6815dae61969d4a304aecba3,AnCa,cmix,proposed,0.0,dna,0.0,0.0,0.0,142189675.0,0.0,0.0,0.0
6815dae61969d4a304aecba4,GaGa,7-zip,standard,181268.0,dna,207.0,8.0,36190714.0,148532294.0,6.0,148876.0,2.0
6815dae61969d4a304aecba5,GaGa,7-zip,proposed,35484.0,dna,7.5,10.0,35290827.0,148532294.0,6.0,149064.0,2.0
6815dae61969d4a304aecba6,GaGa,paq8px,standard,0.0,dna,0.0,0.0,0.0,148532294.0,0.0,0.0,0.0
6815dae61969d4a304aecba7,GaGa,paq8px,proposed,0.0,dna,0.0,0.0,0.0,148532294.0,0.0,0.0,0.0
6815dae61969d4a304aecba8,GaGa,bsc,standard,36380.0,dna,47.0,6.0,34999806.0,148532294.0,6.0,149104.0,32.0
6815dae61969d4a304aecba9,GaGa,bsc,proposed,38161.0,dna,34.0,6.0,32962582.0,148532294.0,1.0,149104.0,31.0
6815dae61969d4a304aecbaa,GaGa,gzip,standard,41020.0,dna,191.0,6.0,41209382.0,148532294.0,6.0,149104.0,2.0
6815dae61969d4a304aecbab,GaGa,gzip,proposed,35920.0,dna,3.0,6.0,36216541.0,148532294.0,0.0,149192.0,1.0
6815dae61969d4a304aecbac,GaGa,zstd,standard,37724.0,dna,238.0,6.0,37881129.0,148532294.0,0.0,149220.0,2.0
6815dae61969d4a304aecbad,GaGa,zstd,proposed,35044.0,dna,11.0,6.0,35312312.0,148532294.0,2.0,149072.0,1.0
6815dae61969d4a304aecbae,GaGa,bzip2,standard,39740.0,dna,14.0,6.0,39671913.0,148532294.0,6.0,149060.0,7.0
6815dae61969d4a304aecbaf,GaGa,bzip2,proposed,36264.0,dna,5.67,6.0,36392985.0,148532294.0,3.0,148860.0,3.0
6815dae61969d4a304aecbb0,GaGa,zpaq,standard,38808.0,dna,212.0,17.0,34693392.0,148532294.0,18.0,148900.0,218.0
6815dae71969d4a304aecbb1,GaGa,zpaq,proposed,38488.0,dna,152.0,6.0,34709309.0,148532294.0,3.0,149560.0,154.0
